name,link
EnglishLikeANative,http://youtube.com/channel/UC0Hg2Ks00kCekyjZG_LxOmg
cambridgeuniversity,http://youtube.com/channel/UCc5vZEM1MLUzCrg_aZIJdeA
SamuelLeeds,http://youtube.com/channel/UCS6SES6btXx2tVFzWy4oToA
NaseehaSessions,http://youtube.com/channel/UCKGeFv3Gaho3bD4-hoUx4eg
veekativhu_,http://youtube.com/channel/UC0a0jgB33-HHcAm84UFfPgw
VietSpecialEnglish,http://youtube.com/channel/UC9jtnZXAL-6JpHzE5Vkn63A
Jatznaran,http://youtube.com/channel/UCBiCWypofB8i9BOPYUvihhA
EmmaKennyTV,http://youtube.com/channel/UCwO9D_qzsnrm-xq2lRfhiag
studysapuri_official,http://youtube.com/channel/UCxLohCmWDYwpH5XZXDMf_9Q
AfzalHussein,http://youtube.com/channel/UCLpcyeOMyhRUifU3cn1AEhQ
GSHElectrical,http://youtube.com/channel/UCgtbE9w_d-u2AvPp3WBlPfQ
RootsOfKnowledge,http://youtube.com/channel/UCofJSNqSsllUUjMJvdR8aFQ
Pacific786,http://youtube.com/channel/UCPjbaDoHELdgVcAtX6-j2tw
SocoFilms,http://youtube.com/channel/UCyDS9p6NWHpU9XbbbYLFLBw
productivemuslim,http://youtube.com/channel/UCjNY1NRozZEWKPHMp992gjg
unibirmingham,http://youtube.com/channel/UC5G3iPIJk_s7El-ck-BL1wA
udokafintelmann6803,http://youtube.com/channel/UCF_3Rp65XDUbyNle_9rpwwg
VapingWithVic,http://youtube.com/channel/UCnysMyOhLdS9OzxTXjUJjGQ
BacSiSuaMeAnhThy,http://youtube.com/channel/UCGCQHPivzTYVzbML1zmFqRA
CotswoldFarmPark,http://youtube.com/channel/UCNbbfthWv7rjz5ZjK3-E2vQ
MuslimMastery,http://youtube.com/channel/UCCiUx0o86cBItVRQeW1OLWA
Islamiconlineuniversity-iou,http://youtube.com/channel/UCKTdGEZ6Kivs-ZUk5_kv_tA
AShotOfWildlife,http://youtube.com/channel/UCZ4FD_GqvrpAWVlyjLFaMyQ
CambridgeCentralMosque,http://youtube.com/channel/UC-6fKQvzJKHDT6FJs84iE7w
MattBrighton,http://youtube.com/channel/UCH4RPSShFaFzxDu3qbmGkzA
kingscollegelondon,http://youtube.com/channel/UCJWjuv2e4_E1uQzPrQ4jFYA
cryptofundmanager,http://youtube.com/channel/UCBQEgNYE8pB0qrUR5On9jYA
getlicensed,http://youtube.com/channel/UCVrFrtgV3IiWeDXk0M0lqww
elttraining,http://youtube.com/channel/UC66na0VJZmiyBux060wpa3g
tomkatgastraining,http://youtube.com/channel/UCZ_LO-R1nn9ETqfra26RulQ
SpecsaversOfficial,http://youtube.com/channel/UCFrYZUWhkYvOVGTBXJk_SrA
TheSajHussain,http://youtube.com/channel/UCYQL5B_QB8J69DZlb41NwoA
GaelicwithJason,http://youtube.com/channel/UCVX7RajLZmm8i7LEuli05tw
UofGlasgow,http://youtube.com/channel/UCbLvwnHuFdqI9E7a9wdLxwA
OMTTraining,http://youtube.com/channel/UC928wk_zANAQaBTlC8mYO2Q
TheAnxiousInvestor,http://youtube.com/channel/UCf00Yct6GTd9wQuNHIHcwHQ
TheInfoworks,http://youtube.com/channel/UCR4zdwiEmU-vvJ8wEExtIQA
MrTompkins,http://youtube.com/channel/UCWuHJjIBO7E7rbeFQRpjY4w
JimmyEnglishHome,http://youtube.com/channel/UCra9xZGxYebnncDZ8LnsbDg
madebydyslexia,http://youtube.com/channel/UCLBUsgxhf_otK_qKoZnP0pA
NIKEDU,http://youtube.com/channel/UCxyaRoN-5bmAageBFc6DtUA
PookyH,http://youtube.com/channel/UCouKr8JeXinK6v_nf5dWA1A
DrivingTestSuccess,http://youtube.com/channel/UC4x4l6AjuXvGwa5zaEKddnA
NationwideBSocietyUK,http://youtube.com/channel/UCn2pgG-6zT5Vv4xeg8iu6Cg
PatternIntegrityNFT,http://youtube.com/channel/UCzL4lUYxYC3wwOhPCy_oOyw
abumusa_ch,http://youtube.com/channel/UCqjJAM4ZA2CykLaWs9TKoiQ
TradingXAUUSD,http://youtube.com/channel/UCp10TCvWjm88EX5VOJxfhBQ
HocvienPhatgiaoVietNamtaiTPHCM,http://youtube.com/channel/UCJtSRZqhA_gEUzOBh2mXG5w
selpain,http://youtube.com/channel/UCWlYIwRkuQlg4AU5yx2dFOQ
FatimaBarkatulla,http://youtube.com/channel/UC-OmnF8B-amQgTzppOVc5sw
